住起来妥妥的舒服！采光好 拎包入住邻汉峪金谷舜泰软件园旅游路,2室2厅1卫,整租,100,南,中层 / 18层,高新,瀚裕华园,高新汉峪 - 旅游路,2000,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1、小区名称：瀚裕华园2、小区环境：省直机关宿舍、安全性高、汉峪片区环境优美、美绿化率高、车位充足、附近有超市、集市、医疗、中小学幼儿园3、公交路线：518、k131、k145等多路公交车直达奥体中心4.附近商业有：万达广场、丁豪广场、美莲广场、汉峪金谷、舜泰广场、中铁汇苑、国际会展中心、三庆世纪财富中心、银座、汽车银座、万达文旅城、建筑大学、体育学院、省立医院东院、奥体中心、浪潮集团、雨滴广场、齐鲁软件园、力高国际、高新cbd、三盛、小鸭工业园、炼油厂、中央广场、玉兰广场、龙奥大厦、海信创智谷、齐鲁文化创意基地、殷陈小学、济南高新区第二实验学校、济高实验学校、山师二附中、义和小学、唐冶、药谷、高新区管委会、高新区政务服务中心、天辰、博士伦、福瑞达、中国航天科技园、齐盛广场、科汇大厦、银荷大厦、铭盛大厦、龙翔商务大厦、宝威科技园、高新区奥体中路学校、轻骑集团、电子机械工程学校、中国铁建国际城、山东省胸科医院东院区。5.主做小区：丁豪广场、鲍山花园、万达华府、万达广场、东都国际、钢城新苑、济钢新村、金域华府、景苑小区、茗筑美嘉、牛旺小区、盛福家园、盛福花园、八涧堡小区、邓家花园、姜家花园、贤文花园、贤文世家、祥泰新河湾、殷陈小区、徐家庄（新徐印象）、中建新悦城、中新锦绣天地、中新国际城、金河山庄、凤凰国际、鲁邦奥林逸城、南湖花苑、北胡灏苑、田园山庄、东盛花园、东篱花园、石化园小区、万科幸福里、殷陈早市、保利花园、建大花园、尚东1956、中建凤栖第、恒生伴山、三庆城市主人、银盛泰金域蓝山、天齐奥东花园、龙湖春江郦城、河泰优山美郡、中建新悦城、星瀚城、铁厂宿舍（济钢第三工业南宿舍）、涵源新居、汉峪新苑、小瀚裕、兴旺家园、华皓英伦联邦、绿城玉兰花园、全运村、西蒋峪、锦屏家园、三盛国际公园、东鲁凤凰上郡、中铁逸都、舜奥华府、景和山庄、景苑小区、潇景苑小区、三箭汇福山庄、草山岭小区、联合财富广场、万科城、万科麓城、张马屯（东方丽苑）、盛景家园、绿城百合、明湖白鹭郡、水晶东座、未来城、牛旺庄小区、鑫苑国际城市花园、理想嘉园、汇展香格里拉、新生活家园、中垠雅苑、山钢新天地、丁家庄小区、华达宿舍、华达华苑、力高国际、中铁汇苑、新东方花园、万科新里程、中海天悦府、汉峪海风、。山水华府、明福花园、盛福苑、海信慧园、康桥颐东。6.交通干线：工业南路、经十路、花园东路、奥体中路、奥体西路、奥体东路、奥体北路、旅游路、凤凰路、舜华路、舜风路、天辰路、康虹路、铁骑路、世纪大道、凤园路、龙鼎大道、会展路、新泺大街、天泺路、浪潮路、伯乐路、舜泰北路、凤鸣路、凤岐路、工业北路、飞跃大道、颖秀路、沁园路、舜旺路、会展东路、会展西路、金达路、华茂路、龙奥北路、龙奥南路、凤新路、华盛路、百合东路、老石沟路、龙驰路、重德路、礼耕路、齐川路、正丰路、轻风路、中林路、八涧堡东路、八涧堡路、炼化路、凤山路。
唐官小区 东八区  水发集团 凤凰城 火炬东第 恒大城30,3室2厅2卫,合租 - 次卧,20,南,中层 / 31层,历城,鲁商凤凰城,历城唐冶 - 幼安街,450,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","床衣柜沙发冰箱洗衣机空调热水器宽带暖气阳台独立卫生间房屋亮点朝南配套齐全精装修房源描述一，小区环境优雅，超高绿化，配套设施齐全。。二、房型格局全明户型，主卧客厅朝阳，全天采光，开放厨房布局方正，设计合理。。三、房子精装修，拎包入住即可。。四、温馨提示；养宠物者，无职业者，不爱整洁的，谢绝看房五,无线宽带、衣柜、大床、电脑桌、晾衣架、空调、68*热水器、暖气、冰箱、洗衣机等。个人房源，欢迎随时看房"
南北通透 采光好 万虹商圈 拎包入住 精装修 家具家电齐全,2室1厅1卫,整租,99,南,低层 / 30层,历城,恒大城(一期),历城王舍人 - 工业北路,1800,距离地铁R3号线王舍人站441米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.户型好楼层佳采光好2.价格合理附近小区同比高质3.家具家电可拎包入住4.周边生活设施齐全，商场、超市、菜市场、银行、学校，应有尽有周边交通便利，紧邻城市主干道享受数十余公交线路等便利的交通设施5.房主心态好人品好，诚意出租，随时看房。中住万卷府店刘杰为您服务（天鸿万象新天，恒大城，工业北路，凤凰路商圈）
短租！月付 女生多 上海花园 电梯房 环联夜市旁 随时看房,3室2厅1卫,合租 - 主卧,20,南,高层 / 10层,历城,上海花园,历城祝甸 - 东晨大街100号,600,距离地铁R3号线八涧堡站1705米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",谨呈下;献给正在奋斗中的你！或许你现在很迷茫，或许你刚告别自己的室友，或许你徘徊在自己的人生路口。而我将为您提供人生路上一所落脚地。或许你背井离乡为了未来，为了自己美好的憧憬，为了家人。而我将成为您漂泊之路的水波，助你一路前行。成功之后回想现在租房生活是一种回味，是一种努力的痕迹，是感谢现在奋斗的自己。接下来就为你介绍一下你的“驿站”1.先从整体环境来说，品牌公寓环境温馨气氛到位，每月保洁为疲惫的你打扫卫生2.交通便利，闹中有静，周围成熟商圈可满足你的一切。3.家具家电齐全拎包入住即可，服务到位，纵看所有合租房，唯我绿萝公寓，相信我成就你！！加油，献给正在奋斗中的你！快来打造属于自己的爱情公寓吧！
特价！急租，力高国际，泰悦赫府，实体次卧，精装修，可月付！,3室1厅2卫,合租 - 次卧 - 男女不限,10,南,高层 / 34层,高新,泰悦赫府,"高新国际会展中心 - 花园东路,近奥体西路",500,距离地铁R3号线花园东路站732米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","房源优势：1.直租，无中介,无中介,无中介,可月付！！2.不说装修多好，至少干净卫生，清净明亮！3.租客都是些年轻人，方便交流，好沟通！4.小区交通便利，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足！5.租客*，三有不租，养宠物者不租，带老人者不租，带小孩者不租，让合租的你住的更有品质。6.公司直租，精装修！7.服务周到，带你看遍济南商圈所有*，相信我，成就你！8.无线宽带、衣柜、大床、电脑桌、24*热水器、暖气、洗衣机！特点：1.我们定期打扫公共区域卫生，让您住得舒心，省心2.每户配有房管员，做您的贴身管家3.专业维修师傅，生活更加轻松4.交通便利，小区门口设有公交站台，出行更加便捷！5.百兆宽带，让你上网享受飞的感觉"
工业南路万达华府丁豪万达小鸭集团美莲广场齐盛大厦交通便利月付,3室2厅1卫,合租 - 次卧 - 男女不限,26,南,中层 / 17层,高新,万达华府,高新国际会展中心 - 工业南路,650,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '阳台']",房源详情小区详情签约前切勿付订金、押金、租金等一切费用！务必实地看房，查验房东和房屋证件！床衣柜沙发电视冰箱洗衣机空调热水器宽带暖气阳台独立卫生间房屋亮点邻地铁朝南配套齐全精装修房源描述1.紧邻国际会展中心、中铁财智中心、高新万达丁豪、齐鲁软件园、银荷大厦、舜泰广场、龙奥大厦等多出上班地点为您提供上班更方便更快捷的居住位置，上班方便，步步到位。2.物业管理正规小区，居住安全省心，对于居住人员严格审查，无不良嗜好，不扰民，作息时间规律，不养宠物，不带小孩，有正当职业，安全放心。3.周边超市、大型商场、就像高新万达广场、丁豪广场、美莲广场。周边还有银行、医院诊所、药店、公交站点、让生活变得更加便捷、一应俱全，生活便利。4.大型双人床、双开门衣柜、空调、全自动智能洗衣机、全新电脑座椅、全自动智能热水器、全覆盖WiFi、双开门冰箱、实木地板、超厚席梦思床垫、晾衣架垃圾篓等家具家电都是全新的，配置还齐全，有阳台。打造高端品质生活，精装好房屋，东西可配，拎包入住，随时看房，欢迎您的咨询
南北朝阳大卧室，，有暖气，可做饭  拎包入住,3室1厅1卫,整租,120,南北,中层 / 18层,历城,赵家新苑,历城工业北路 - 凤凰路,2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....每人都是单独的卧室，单独的门锁，客厅公用的，有独立卫生间的也有不是独立卫生间的，价格跟面积大小而定，走位都是上班族，安静的生活只为品牌专属的你！！！！房源优势：1.不说装修多好，至少干净卫生，清净明亮。2.不像别的房居住人多且杂，品牌只为专属的你。3.小区交通便利，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客*，三有不租，养宠物者不租，带老人者不租，无正当职业者不租，带小孩者不租，让合租的你住的更有品质。5.公司自己的房子，不是骗人，真的不收钱。6.服务周到，带你看遍济南商圈所有*，相信我，成就你。7.无线宽带、衣柜、大床、电脑桌、晾衣架、空调、24*热水器、暖气、冰箱、洗衣机、全套厨房可做饭特点：1.我们不定期打扫公共区域卫生，让您住得舒心，省心2.每户配有房管员，做您的贴身管家3.专业维修师傅，生活更加轻松4.押一付一，让您租房无压力5.100兆宽带，让你上网享受飞的感觉
好房推荐！阳光100凤凰街，欧亚大观，王官庄，泉景大厦送免租,3室2厅2卫,合租 - 主卧,26,南,中层 / 21层,市中,泉景天沅秀园,市中郎茂山 - 刘长山路33号,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1.小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！2.家里有床、衣柜，桌子椅子，空调等家具一应俱全3.有厨房，可以做饭4.房源价格低廉5.物品损坏24*内免费上门维修6.客服每星期定期检查卫生，排除电路水路等安全隐患7.租赁期间如有各项问题，我们客服为您排解解难协调调解！！！重要的是无-中-介-费！！！温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租*若您觉得此房源不能满足您的需求，本人拥有区域所有在租房源，欢迎点击我的主页进入我的网点，里面有更多的真实照片及价格的房源供您挑选，直到您满意!
精装特惠有暖气，紧邻环宇城，二环南路，省离南院，学而思，,3室2厅2卫,合租 - 主卧,26,南,高层 / 34层,市中,中海国际社区,市中二环南路 - 二环南路,699,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","无中介费!!无!!1,所有客房标配温馨风格家具、双气三线电梯。2,提供上门维修服务。3定期一次保洁上1]服务,卫生间、公共区域客厅进行打扫。4,专属管家服务,安全保障。5,长租短租均可,付款灵活,让您安心入住。6,A独立卫浴宽阔阳台1300-1500B落地飘窗1000-1200C双人套间800-1000D精致雅间600-900多样户型任您挑选"
中海国际环宇城 A2区 首此出租 精装电梯房 家具家电齐全,3室2厅2卫,合租 - 次卧,21,南,中层 / 14层,市中,绿地海珀天沅,"市中郎茂山 - 郎茂山路,近二环南路",600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",为年轻人打造理想租房生活也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....房源优势：1.不说装修多好，至少干净卫生，清净明亮。2.不像房居住人多且杂，合租四间多，品牌只为专属的你。3.小区，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客，三有不租，养宠物者不租，带老人者不租，无正当职业者不租
