标题,户型,租房方式,房屋大小,房屋朝向,楼层,小区名称,地址,房租,地铁,房屋配置,房屋描述
无中介f拎包入住洪家楼印象城山东大学彼岸新都海蔚广场家电齐全,1室1厅1卫,整租,50㎡,南,中层 / 20层,广厦聚隆广场(商住楼),历城洪家楼 - 洪家楼南路1号,2400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",九万间优选公寓：想必你看到了很多我的房源，依旧是我，只做租赁的小nie从业10年，做了10年的租赁。就在洪家楼，就做这5个小区。聚隆广场【目前主要做聚隆，你看到的价格低的基本都是虚假房源，聚隆现在市场价2300以上】，海蔚广场，福润康城，彼岸新都，爱特公寓。这10年没有卖过一套房子，专注租赁租房找我不忽悠，有就是有，没有不发虚假。有人说你们发布的都是虚假房源，对于只做高端租赁的我而言没有任何意义，我的房源本身质量就不错，没必要在用虚假房源掩盖。下面图片就是这样，一模一样，不做过多描述，好坏看得见，如果喜欢。直接电联，只要你能看到房子一定有，我基本不是看房子就是在看房子的路上，所以你发信息给我我不知道什么时间能够回复你，我不想失去来之不易的客户，所以直接联系我。给你想要的，给你需要的。不浪费双方时间
可短租！双气! 带车位邻汉峪金谷舜泰文旅城景和田园保利花园,2室1厅1卫,整租,81㎡,南,中层 / 24层,潘田馨苑,历城邢村立交桥 - 经十路,1500,无,"['热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",附近商业有：万达广场、丁豪广场、美莲广场、汉峪金谷、舜泰广场、中铁汇苑、国际会展中心、三庆世纪财富中心、银座、汽车银座、万达文旅城、建筑大学、体育学院、省立医院东院、奥体中心、浪潮集团、雨滴广场、齐鲁软件园、力高国际、高新cbd、三盛、小鸭工业园、炼油厂、中央广场、玉兰广场、龙奥大厦、、海信创智谷、齐鲁文化创意基地、殷陈小学、济南高新区第二实验学校、济高实验学校、山师二附中、义和小学、唐冶、药谷、高新区管委会、高新区政务服务中心、天辰、博士伦、福瑞达、中国航天科技园、齐盛广场、科汇大厦、银荷大厦、铭盛大厦、龙翔商务大厦、宝威科技园、高新区奥体中路学校、轻骑集团、电子机械工程学校、中国铁建国际城、山东省胸科医院东院区。主做小区：丁豪广场、鲍山花园、万达华府、万达广场、东都国际、钢城新苑、济钢新村、金域华府、景苑小区、茗筑美嘉、牛旺小区、盛福家园、盛福花园、八涧堡小区、邓家花园、姜家花园、贤文花园、贤文世家、祥泰新河湾、殷陈小区、徐家庄（新徐印象）、中建新悦城、中新锦绣天地、中新国际城、金河山庄、凤凰国际、鲁邦奥林逸城、南湖花苑、北胡灏苑、田园山庄、东盛花园、东篱花园、石化园小区、万科幸福里、殷陈早市、保利花园、建大花园、尚东1956、中建凤栖第、恒生伴山、三庆城市主人、银盛泰金域蓝山、天齐奥东花园、龙湖春江郦城、河泰优山美郡、中建新悦城、星瀚城、铁厂宿舍（济钢第三工业南宿舍）、涵源新居、汉峪新苑、小瀚裕、兴旺家园、华皓英伦联邦、绿城玉兰花园、全运村、西蒋峪、锦屏家园、三盛国际公园、东鲁凤凰上郡、中铁逸都、舜奥华府、景和山庄、景苑小区、潇景苑小区、三箭汇福山庄、草山岭小区、联合财富广场、万科城、万科麓城、张马屯（东方丽苑）、盛景家园、绿城百合、明湖白鹭郡、水晶东座、未来城、牛旺庄小区、鑫苑国际城市花园、理想嘉园、汇展香格里拉、新生活家园、中垠雅苑、山钢新天地、丁家庄小区、华达宿舍、华达华苑、力高国际、中铁汇苑、新东方花园、万科新里程、中海天悦府、汉峪海风、。山水华府、明福花园、盛福苑、海信慧园、康桥颐东、雪山合苑、锦屏家园、林景山庄、田园警苑。交通干线：工业南路、经十路、花园东路、奥体中路、奥体西路、奥体东路、奥体北路、旅游路、凤凰路、舜华路、舜风路、天辰路、康虹路、铁骑路、世纪大道、凤园路、龙鼎大道、会展路、新泺大街、天泺路、浪潮路、伯乐路、舜泰北路、凤鸣路、凤岐路、工业北路、飞跃大道、颖秀路、沁园路、舜旺路、会展东路、会展西路、金达路、华茂路、龙奥北路、龙奥南路、凤新路、华盛路、百合东路、老石沟路、龙驰路、重德路、礼耕路、齐川路、正丰路、轻风路、中林路、八涧堡东路、八涧堡路、炼化路、凤山路。在喧闹的城市里，给您一个温馨安静的家。是我们一直以来的追求与宗旨。附近商业有：万达广场、丁豪广场、美莲广场、汉峪金谷、舜泰广场、中铁汇苑、国际会展中心、三庆世纪财富中心、银座、汽车银座、万达文旅城、建筑大学、体育学院、省立医院东院、奥体中心、浪潮集团、雨滴广场、齐鲁软件园、力高国际、高新cbd、三盛、小鸭工业园、炼油厂、中央广场、玉兰广场、龙奥大厦、海信创智谷、齐鲁文化创意基地、殷陈小学、济南高新区第二实验学校、济高实验学校、山师二附中、义和小学、唐冶、药谷、高新区管委会、高新区政务服务中心、天辰、博士伦、福瑞达、中国航天科技园、齐盛广场、科汇大厦、银荷大厦、铭盛大厦、龙翔商务大厦、宝威科技园、高新区奥体中路学校、轻骑集团、电子机械工程学校、中国铁建国际城
豪华装修一室一厅，临华强省医山师山艺泉城广场芙蓉街，拎包入住,1室1厅1卫,整租,43㎡,南,高层 / 12层,诚基中心,历下和平路 - 和平路47号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
洪家楼印象城 花园小区精装两室一厅仅租2000 拎包入住可看,2室1厅1卫,整租,65.40㎡,南,高层 / 6层,花园小区(三区),历城黄台南路 - 黄台南路,2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",急租位置；洪家楼花园路山大路户型；南北通透，客厅主卧朝阳，采光好，家具家电齐全，拎包入住。交通；靠近花园路山大路洪楼附近，公交出行方便。购物；靠近洪家楼银座印象城大润发，购物非常方便，七里堡菜市场很近。
保真无中介 可短租可月付拎包入住 紧邻和谐广场西市场省立医院,2室2厅1卫,整租,90㎡,南,中层 / 6层,东方新天地花园,槐荫西市场 - 经四纬十二路,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房子保持很好，收拾的也很干净，直接拎包入住。2.户型方正，卫生间空间较大。3.餐客比例协调，有意者请与我联系。4.为您安家尽心竭力，是我的荣幸，很高兴为您服务小区优势：1.小区环境优雅舒适，宁静怡人2.小区配套设施齐全，交通便捷我能做的事1.通过了解您的租房意向，帮您精心挑选房源，并仔细核实每一个房源条件2带您看房，直到您满意为止3.快速高效为您物业交割（水、电、供暖等一系列物业问题）4.以真诚的态度，周到的服务，到位的维护，为您安家保驾护航我所发的每一套房源都是真实存在的，在小区都可以找到。希望您找到合适的房子。而不是将就！
龙湖冠寓 精装套一押一付一 家具齐全 拎包入住 无中介短租,1室0厅1卫,整租,32㎡,南,高层 / 18层,鑫苑名家,天桥历山北路 - 水屯北路5号,1550,无,"['电视', '空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",租冠寓可享济南市政府专属人才补贴！冠寓是龙湖集团推出的长租公寓品牌，致力于营造一个舒适、安全、便捷、社群、时尚的空间。打造一个以长租公寓为核心，生活服务多功能在内的多元化社区。1.房屋配套：一室一卫，20-35平，含洗衣机冰箱鞋柜空调WIFI，知名家具家电配套齐全。2.超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求，营造健康积极的社交场所。3.多彩社群：每月至少2次社群活动，蹦床、K歌、爬山、轰趴、狼人杀谁是卧底剧本杀、龙虾宴、音乐节、真人CS、聚餐等等，活动不断，更亲密的邻里关系，更自在的志同道合，95后运营官带你体验精彩生活。4.服务：95后年轻运营官、保安、保洁、维修齐全，24H无缝隙守护租户生活。5.交通、车位：门店位于北园街道小清河北路，公交便利，楼下就有停车场，停车方便。6.安全可靠：龙湖集团全国36所城市直营，品牌保障，冠寓有店长、运营官、龙湖物业24h无缝隙守护您的安全，且冠寓出入需要梯控、指纹识别、房间有智能密码锁、公共区域有摄像头监控，多维度保障您的的安全，让我们的每一位租户在冠寓都住的安心。7.周边配套：公寓自带自动售卖机、小电充电宝、农夫山泉、充电桩、公共洗衣机等，日常生活便捷。1公里内超市，银行等生活配套齐全8.智慧生活智能APP三重智能管理，安心舒心。自主研发“冠寓”APP，轻松实现掌上生活缴费（水电）、线上看房、智能门锁密码管理、故障报销、租约管理等智能化服务。
2台新装空调 免费WIFI 拎包入住 出行方便 独立阳台,1室1厅1卫,整租,63.85㎡,南北,低层 / 15层,阳光100国际新城T区,槐荫阳光100 - 建新路,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",【房屋位置】此房位于阳光新路中段，.好路段两室两厅生活方便拎包入住诚心租价格可谈。【户型结构】客厅卧室朝阳户型，更好的采光和观景！布局合理，独享静谧生活！尽显舒适！【产权明晰】本房源为业主一手房源，产权清晰，无抵押无查封，房东着急出租，希望找爱家爱干净的人入住，诚心租房。【配套设施】精装环保房家具家电拎包入住社区处于商业中心区吃喝娱乐一体，更有大型阳光美乐汇，满足您的生活需求。交通便利，出门车站。绿化率高，居民素质、高。附近有配套幼儿园及，医疗设施完善。
温馨一室小户型 双气 东西齐全 设施干净 看房方便,1室1厅1卫,整租,30㎡,北,低层 / 22层,实力伴云居,"槐荫经十西路 - 经十路,近腊山北路",1250,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '衣柜', '可做饭', '阳台']",小区介绍：环境舒适宜人封闭式花园小区小区内有超市，周边有明星菜市场和腊山农贸市场房源介绍：房屋家具家电设施齐全采光好，全明户型附近有81路109路78路96路202路等多路公交车出门交通便利，地铁口就在小区对面，小区内有地上地下停车位
无中介丁家嵘汇花园cbd旁地铁餼号线交通方便配套齐全近高新万,2室2厅1卫,整租,108㎡,南北,中层 / 26层,丁家嵘汇花园,历下解放东路 - 奥体西路,2900,距离地铁R3号线丁家庄站487米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",没有中介：一对一房屋管家，保障服务，我们坚持无中介，随时免费带你看房家电齐全：全新家具，品牌家电，冰箱，空调，洗衣机等应有尽有，洗澡做饭都很方便品质装修：知名计师匠心打造时尚北欧风、现代简约风，美式田困风等多种风格公寓入住保洁：入住前深度保洁，做到拎包就能入住免费维修：家具家电及时上门维修，随时可预约转租不违约：中途退租可以自行转租，减少违约损失交通便利：地铁、公交公共交通便捷无忧…随便去哪儿周边设施：周边各大商超、美食环绕其中，生活设施便利，吃喝玩乐，应有尽有
淮海东城御景 精装 环境舒适 有钥匙 随时看房,3室1厅1卫,整租,100.41㎡,南,低层 / 27层,淮海东城御景,高新国际会展中心 - 奥体西路,2600,距离地铁R3号线八涧堡站776米,['阳台'],1.朝阳，精装修.2.自家房屋诚心出租.3.格局方正，使用率超赞.
